"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"E.MTAB.386","Ovarian cancer Affymetrix gene expression data  used in, Angiogenic mRNA and microRNA gene expression signature predicts a novel subtype of serous ovarian cancer. PLoS ONE 2012","MetaGxOvarian/E.MTAB.386.rda","3.4","Illumina humanRef-8 v2.0","RDA","https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-386/","Dec 25 2017","Homo sapien",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","E.MTAB.386.rda"
"GSE2109","Ovarian cancer Affymetrix gene expression data  from EXpression Project for Oncology, International Genomics Consortium, www.intgen.org  ","MetaGxOvarian/GSE2109.rda","3.4","Affymetrix HG-U133Plus2","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2109","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE2109.rda"
"GSE6008","Ovarian cancer Affymetrix gene expression data  used in, Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis. PLoS One. 2009","MetaGxOvarian/GSE6008.rda","3.4","Affymetrix HG-U133A","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6008","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE6008.rda"
"GSE6822","Ovarian cancer Affymetrix gene expression data  used in, Discrimination between serous low malignant potential and invasive epithelial ovarian tumors using molecular profiling. Oncogene 2005","MetaGxOvarian/GSE6822.rda","3.4","Affymetrix Hu6800","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6822","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE6822.rda"
"GSE8842","Ovarian cancer Affymetrix gene expression data  used in, Analysis of gene expression in early-stage ovarian cancer. Clin Cancer Res. 2008 Dec 1","MetaGxOvarian/GSE8842.rda","3.4"," Agilent  G4100A cDNA","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE8842","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE8842.rda"
"GSE9891","Ovarian cancer Affymetrix gene expression data  used in, Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome. Clin Cancer Res. 2008 Aug 15","MetaGxOvarian/GSE9891.rda","3.4","Affymetrix HG-U133Plus2","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9891","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE9891.rda"
"GSE12418","Ovarian cancer Affymetrix gene expression data  used in, Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors. Eur J Cancer. 2006 Nov","MetaGxOvarian/GSE12418.rda","3.4","SWEGENE H_v2.1.1_27k","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12418","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE12418.rda"
"GSE12470","Ovarian cancer Affymetrix gene expression data  used in, Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis. Cancer Sci. 2009 Aug","MetaGxOvarian/GSE12470.rda","3.4","Agilent G4110B","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12470","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE12470.rda"
"GSE13876","Ovarian cancer Affymetrix gene expression data  used in, Survival-related profile, pathways, and transcription factors in ovarian cancer. PLoS Med. 2009 Feb 3","MetaGxOvarian/GSE13876.rda","3.4","Operon v3 two-color","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13876","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE13876.rda"
"GSE14764","Ovarian cancer Affymetrix gene expression data  used in, A prognostic gene expression index in ovarian cancer - validation across different independent data sets. J Pathol 2009 Jun","MetaGxOvarian/GSE14764.rda","3.4","Affymetrix HG-U133A","RDA","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14764","Dec 25 2017","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","ExpressionSet","ovarian cancer expression","GSE14764.rda"
